state,taxa,count
ACT,Plants,19
ACT,Birds,20
ACT,Mammals,12
ACT,Reptiles,6
ACT,Fish,4
ACT,Frogs,6
ACT,Invertebrates,4
NSW,Plants,468
NSW,Birds,91
NSW,Mammals,56
NSW,Reptiles,37
NSW,Fish,24
NSW,Frogs,29
NSW,Invertebrates,49
NT,Plants,39
NT,Birds,38
NT,Mammals,45
NT,Reptiles,20
NT,Fish,7
NT,Frogs,1
NT,Invertebrates,4
QLD,Plants,347
QLD,Birds,73
QLD,Mammals,64
QLD,Reptiles,44
QLD,Fish,25
QLD,Frogs,27
QLD,Invertebrates,28
SA,Plants,134
SA,Birds,87
SA,Mammals,61
SA,Reptiles,12
SA,Fish,17
SA,Frogs,1
SA,Invertebrates,4
TAS,Plants,105
TAS,Birds,60
TAS,Mammals,12
TAS,Reptiles,8
TAS,Fish,16
TAS,Frogs,1
TAS,Invertebrates,22
VIC,Plants,174
VIC,Birds,72
VIC,Mammals,38
VIC,Reptiles,15
VIC,Fish,28
VIC,Frogs,11
VIC,Invertebrates,15
WA,Plants,420
WA,Birds,66
WA,Mammals,68
WA,Reptiles,22
WA,Fish,15
WA,Frogs,3
WA,Invertebrates,16
