name,status,taxa,state_count
Norfolk Island Abutilon,Critically Endangered,Plants,0
-,Vulnerable,Plants,1
"Grass Wattle, Chittering Grass Wattle",Vulnerable,Plants,1
Leafless Rock Wattle,Vulnerable,Plants,1
Blunt Wattle,Endangered,Plants,1
"Spidery Wattle, Balcanoona Wattle",Vulnerable,Plants,1
Watheroo Wattle,Endangered,Plants,1
Large-fruited Tammin Wattle,Endangered,Plants,1
Myall Creek Wattle,Critically Endangered,Plants,1
-,Vulnerable,Plants,1
Orange-flowered Wattle,Endangered,Plants,1
Stirling Range Wattle,Vulnerable,Plants,1
"Midlands Mimosa, Midlands Wattle",Vulnerable,Plants,1
-,Endangered,Plants,1
Blay's Wattle,Critically Endangered,Plants,1
Western Wheatbelt Wattle,Endangered,Plants,1
"Bynoe's Wattle, Tiny Wattle",Vulnerable,Plants,1
"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,Plants,1
"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,Plants,2
-,Endangered,Plants,1
Spiral-fruited Wattle,Endangered,Plants,1
Velvety Spiral Pod Wattle,Critically Endangered,Plants,1
Narrabarba Wattle,Critically Endangered,Plants,1
"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Endangered,Plants,1
Chalky Wattle,Endangered,Plants,1
Pink Gidgee,Vulnerable,Plants,1
Curly-bark Wattle,Vulnerable,Plants,2
-,Critically Endangered,Plants,1
Sandpaper Wattle,Vulnerable,Plants,1
Echidna Wattle,Vulnerable,Plants,1
-,Vulnerable,Plants,1
Jumping-jack Wattle,Endangered,Plants,2
a shrub,Critically Endangered,Plants,1
-,Vulnerable,Plants,1
Flockton Wattle,Vulnerable,Plants,1
Forest's Wattle,Vulnerable,Plants,1
-,Critically Endangered,Plants,1
Bega Wattle,Vulnerable,Plants,1
Hairy-pod Wattle,Vulnerable,Plants,2
-,Endangered,Plants,1
-,Vulnerable,Plants,1
"Hando's Wattle, Percy Grant Wattle",Vulnerable,Plants,1
Gibson Wattle,Endangered,Plants,1
Yornaning Wattle,Endangered,Plants,1
-,Extinct,Plants,1
-,Endangered,Plants,2
Woolly Wattle,Endangered,Plants,1
Latz's Wattle,Vulnerable,Plants,2
Tara Wattle,Vulnerable,Plants,1
Chinocup Wattle,Endangered,Plants,1
-,Critically Endangered,Plants,1
Chiddarcooping Wattle,Endangered,Plants,1
