category,year,index
Actively managed,1985,100.0
Actively managed,1986,219.5
Actively managed,1987,312.2
Actively managed,1988,281.0
Actively managed,1989,258.8
Actively managed,1990,244.0
Actively managed,1991,264.5
Actively managed,1992,208.1
Actively managed,1993,177.9
Actively managed,1994,159.2
Actively managed,1995,203.4
Actively managed,1996,202.4
Actively managed,1997,221.3
Actively managed,1998,223.2
Actively managed,1999,220.8
Actively managed,2000,178.6
Actively managed,2001,151.8
Actively managed,2002,140.6
Actively managed,2003,121.6
Actively managed,2004,117.1
Actively managed,2005,118.9
Actively managed,2006,99.3
Actively managed,2007,93.7
Actively managed,2008,89.8
Actively managed,2009,115.9
Actively managed,2010,104.7
Actively managed,2011,129.0
Actively managed,2012,128.6
Actively managed,2013,120.5
Actively managed,2014,114.9
Actively managed,2015,106.8
Actively managed,2016,113.2
Actively managed,2017,96.9
Actively managed,2018,91.9
Actively managed,2019,91.2
Actively managed,2020,93.2
Actively managed,2021,85.8
No known management,1985,100.0
No known management,1986,92.9
No known management,1987,101.1
No known management,1988,93.5
No known management,1989,96.0
No known management,1990,101.2
No known management,1991,98.5
No known management,1992,111.4
No known management,1993,103.7
No known management,1994,104.6
No known management,1995,106.3
No known management,1996,99.0
No known management,1997,95.7
No known management,1998,97.8
No known management,1999,85.9
No known management,2000,85.9
No known management,2001,85.1
No known management,2002,74.0
No known management,2003,75.6
No known management,2004,76.9
No known management,2005,72.4
No known management,2006,62.9
No known management,2007,57.8
No known management,2008,58.2
No known management,2009,56.2
No known management,2010,56.8
No known management,2011,52.5
No known management,2012,49.7
No known management,2013,49.6
No known management,2014,48.1
No known management,2015,47.1
No known management,2016,47.8
No known management,2017,43.8
No known management,2018,44.9
No known management,2019,44.9
No known management,2020,44.7
No known management,2021,43.3
