group,year,populations
Amphibians,1985,4
Amphibians,1986,23
Amphibians,1987,16
Amphibians,1988,16
Amphibians,1989,16
Amphibians,1990,20
Amphibians,1991,19
Amphibians,1992,32
Amphibians,1993,76
Amphibians,1994,90
Amphibians,1995,100
Amphibians,1996,105
Amphibians,1997,143
Amphibians,1998,99
Amphibians,1999,87
Amphibians,2000,67
Amphibians,2001,87
Amphibians,2002,177
Amphibians,2003,99
Amphibians,2004,91
Amphibians,2005,129
Amphibians,2006,128
Amphibians,2007,121
Amphibians,2008,136
Amphibians,2009,125
Amphibians,2010,139
Amphibians,2011,224
Amphibians,2012,254
Amphibians,2013,170
Amphibians,2014,234
Amphibians,2015,241
Amphibians,2016,290
Amphibians,2017,324
Amphibians,2018,240
Amphibians,2019,286
Amphibians,2020,317
Amphibians,2021,344
Birds,1985,661
Birds,1986,382
Birds,1987,440
Birds,1988,463
Birds,1989,429
Birds,1990,414
Birds,1991,444
Birds,1992,628
Birds,1993,861
Birds,1994,1119
Birds,1995,1336
Birds,1996,1496
Birds,1997,1665
Birds,1998,1965
Birds,1999,5329
Birds,2000,5728
Birds,2001,5609
Birds,2002,5022
Birds,2003,4634
Birds,2004,4374
Birds,2005,4871
Birds,2006,5233
Birds,2007,5275
Birds,2008,5848
Birds,2009,6492
Birds,2010,6467
Birds,2011,8891
Birds,2012,6934
Birds,2013,8930
Birds,2014,6391
Birds,2015,8155
Birds,2016,6637
Birds,2017,6520
Birds,2018,7450
Birds,2019,6829
Birds,2020,6717
Birds,2021,6884
Mammals,1985,157
Mammals,1986,162
Mammals,1987,191
Mammals,1988,175
Mammals,1989,218
Mammals,1990,207
Mammals,1991,255
Mammals,1992,256
Mammals,1993,273
Mammals,1994,243
Mammals,1995,303
Mammals,1996,401
Mammals,1997,309
Mammals,1998,307
Mammals,1999,315
Mammals,2000,390
Mammals,2001,464
Mammals,2002,382
Mammals,2003,317
Mammals,2004,364
Mammals,2005,359
Mammals,2006,359
Mammals,2007,352
Mammals,2008,446
Mammals,2009,400
Mammals,2010,467
Mammals,2011,737
Mammals,2012,880
Mammals,2013,1163
Mammals,2014,1197
Mammals,2015,1339
Mammals,2016,1215
Mammals,2017,1191
Mammals,2018,956
Mammals,2019,1045
Mammals,2020,746
Mammals,2021,746
Plants,1985,1
Plants,1986,3
Plants,1987,7
Plants,1988,1
Plants,1989,0
Plants,1990,2
Plants,1991,2
Plants,1992,18
Plants,1993,24
Plants,1994,6
Plants,1995,18
Plants,1996,15
Plants,1997,59
Plants,1998,27
Plants,1999,79
Plants,2000,58
Plants,2001,74
Plants,2002,84
Plants,2003,76
Plants,2004,179
Plants,2005,166
Plants,2006,187
Plants,2007,123
Plants,2008,126
Plants,2009,115
Plants,2010,142
Plants,2011,145
Plants,2012,135
Plants,2013,168
Plants,2014,161
Plants,2015,213
Plants,2016,290
Plants,2017,279
Plants,2018,209
Plants,2019,375
Plants,2020,257
Plants,2021,256
Reptiles,1985,10
Reptiles,1986,12
Reptiles,1987,12
Reptiles,1988,13
Reptiles,1989,14
Reptiles,1990,13
Reptiles,1991,14
Reptiles,1992,15
Reptiles,1993,15
Reptiles,1994,18
Reptiles,1995,18
Reptiles,1996,21
Reptiles,1997,19
Reptiles,1998,21
Reptiles,1999,18
Reptiles,2000,15
Reptiles,2001,16
Reptiles,2002,15
Reptiles,2003,15
Reptiles,2004,40
Reptiles,2005,50
Reptiles,2006,59
Reptiles,2007,64
Reptiles,2008,62
Reptiles,2009,48
Reptiles,2010,52
Reptiles,2011,44
Reptiles,2012,37
Reptiles,2013,20
Reptiles,2014,15
Reptiles,2015,26
Reptiles,2016,39
Reptiles,2017,48
Reptiles,2018,62
Reptiles,2019,65
Reptiles,2020,55
Reptiles,2021,46
