CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID
Kamballup Dryandra,Plants,Endangered,Western Australia,-32.41332852,117.1792762,Unknown,961_183_1851_269071_p_10001
Kamballup Dryandra,Plants,Endangered,Western Australia,-32.41332852,117.1792762,Unknown,961_183_1851_269072_p_10001
Kamballup Dryandra,Plants,Endangered,Western Australia,-32.41332852,117.1792762,Unknown,961_183_1851_269073_p_10001
Kamballup Dryandra,Plants,Endangered,Western Australia,-32.41332852,117.1792762,Unknown,961_183_1851_269074_p_10001
Kamballup Dryandra,Plants,Endangered,Western Australia,-34.23074081,119.1504387,Unknown,900_2_1641_955275_p_10002
Stirling Range Dryandra,Plants,Critically Endangered,Western Australia,-34.23074081,119.1504387,Actively managed,900_2_1640_955276_p_10060
,Plants,Critically Endangered,New South Wales,-35.26523623,150.6600222,Actively managed,894_2_1345_257002_p_10256
Minyon Quandong,Plants,Endangered,New South Wales,-28.59635014,153.1883811,Actively managed,1464_212_1414_952518_p_10388
Minyon Quandong,Plants,Endangered,New South Wales,-28.59635014,153.1883811,Unknown,1464_212_2651_952517_p_10388
,Plants,Endangered,New South Wales,-33.16202614,150.3893724,Unknown,1438_506_2651_952480_p_10635
,Plants,Endangered,New South Wales,-33.16202614,150.3893724,Unknown,1438_506_2651_952481_p_10635
,Plants,Endangered,New South Wales,-33.16202614,150.3893724,Unknown,1438_506_2651_952482_p_10635
Jumping-jack Wattle,Plants,Endangered,South Australia,-35.97157537,139.9875087,Actively managed,918_2_1522_269714_p_1103
Jumping-jack Wattle,Plants,Endangered,South Australia,-35.97157537,139.9875087,Unknown,918_2_1523_269716_p_1103
Jumping-jack Wattle,Plants,Endangered,South Australia,-35.64006379,140.609955,Unknown,918_2_1523_269718_p_1103
Jumping-jack Wattle,Plants,Endangered,South Australia,-35.64006379,140.609955,Unknown,918_2_1523_269729_p_1103
Jumping-jack Wattle,Plants,Endangered,South Australia,-35.64006379,140.609955,Unknown,918_2_1523_269730_p_1103
Jumping-jack Wattle,Plants,Endangered,South Australia,-35.64006379,140.609955,Actively managed,918_2_1524_269731_p_1103
Jumping-jack Wattle,Plants,Endangered,South Australia,-35.97157537,139.9875087,Actively managed,918_2_1525_269735_p_1103
Jumping-jack Wattle,Plants,Endangered,Victoria,-36.5434572,142.1688746,Unknown,958_2_1897_372712_p_1103
Jumping-jack Wattle,Plants,Endangered,Victoria,-36.5434572,142.1688746,Unknown,958_2_1897_373037_p_1103
Jumping-jack Wattle,Plants,Endangered,Victoria,-36.5434572,142.1688746,Unknown,958_2_1897_373058_p_1103
Jumping-jack Wattle,Plants,Endangered,Victoria,-36.5434572,142.1688746,Unknown,958_2_1897_373060_p_1103
Jumping-jack Wattle,Plants,Endangered,Victoria,-36.5434572,142.1688746,Unknown,958_2_1897_373332_p_1103
,Plants,Near Threatened,New South Wales,-30.03902622,151.9043727,Actively managed,1307_202_2059_397157_p_11588
,Plants,Near Threatened,New South Wales,-30.03902622,151.9043727,Actively managed,1307_2_2259_397156_p_11588
Dalveen Blue Box,Plants,Critically Endangered,Queensland,-28.68404142,151.8934121,No management,1387_2_1414_949541_p_11688
Dalveen Blue Box,Plants,Critically Endangered,Queensland,-28.54354516,151.5203759,No management,1387_2_1414_949542_p_11688
a shrub,Plants,Endangered,Western Australia,-32.41332852,117.1792762,Unknown,961_2_1847_269065_p_11752
"Imlay Mallee, Mount Imlay Mallee",Plants,Critically Endangered,New South Wales,-36.53324171,149.7389788,Unknown,1445_212_2782_955680_p_11875
"Imlay Mallee, Mount Imlay Mallee",Plants,Critically Endangered,New South Wales,-36.53324171,149.7389788,Actively managed,1445_212_2782_955681_p_11875
Grampians Pincushion-lily,Plants,Endangered,Victoria,-37.25678172,142.3822528,Actively managed,928_2_1668_255798_p_12162
,Plants,Critically Endangered,New South Wales,-34.1382346,148.3763939,Unknown,999_2_1973_257414_p_12253
,Plants,Critically Endangered,New South Wales,-34.1382346,148.3763939,Unknown,999_2_1973_257415_p_12253
,Plants,Critically Endangered,New South Wales,-34.1382346,148.3763939,Unknown,999_2_1973_257416_p_12253
,Plants,Critically Endangered,New South Wales,-34.1382346,148.3763939,Unknown,999_2_1973_257417_p_12253
,Plants,Critically Endangered,New South Wales,-34.1382346,148.3763939,Unknown,999_2_1973_257418_p_12253
,Plants,Critically Endangered,New South Wales,-34.1382346,148.3763939,Unknown,999_2_1973_257419_p_12253
,Plants,Critically Endangered,New South Wales,-34.1382346,148.3763939,Unknown,999_2_1973_257420_p_12253
,Plants,Vulnerable,Queensland,-27.04108243,144.8441333,Actively managed,1384_2_1358_943904_p_124
,Plants,Vulnerable,Queensland,-27.04108243,144.8441333,No management,1384_2_1358_943905_p_124
,Plants,Vulnerable,Queensland,-28.57414066,144.7793841,No management,1384_2_1358_943906_p_124
,Plants,Endangered,New South Wales,-33.16202614,150.3893724,Actively managed,998_2_1969_276338_p_1288
Baeuerlen's Gentian,Plants,Endangered,Australian Capital Territory,-35.43401712,149.060159,No management,1488_2_1535_954126_p_13516
Canberra Spider Orchid,Plants,Critically Endangered,Australian Capital Territory,-35.43401712,149.060159,Actively managed,883_2_1323_269283_p_13884
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1487_252231_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1487_252235_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1487_252237_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1487_252238_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1487_252240_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1488_252233_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1488_252234_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_3_1489_252230_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_3_1489_252232_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_3_1489_252239_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-33.59852723,138.730096,Unknown,911_2_1490_252236_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611115_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611116_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-35.33131139,138.668376,No management,1251_348_1670_611117_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-35.33131139,138.668376,No management,1251_348_1670_611118_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611120_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611121_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611122_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611123_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611124_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611125_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611126_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611128_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611129_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-35.33131139,138.668376,No management,1251_348_1670_611185_p_13890
White-beauty Spider-orchid,Plants,Endangered,South Australia,-35.33131139,138.668376,No management,1251_348_1670_611245_p_13890
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252324_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252325_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252326_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252327_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252328_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,Unknown,910_2_1476_252329_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611254_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611255_p_13896
Pink-lipped Spider-orchid,Plants,Endangered,South Australia,-34.88766404,138.7623028,No management,1251_348_1670_611280_p_13896
