lat,lon,group,n
-34.4,148.18,Birds,851
-27.21,153.34,Birds,739
-36.86,143.91,Birds,715
-18.31,122.32,Birds,635
-31.92,115.49,Birds,604
-38.39,146.26,Birds,531
-34.99,149.07,Birds,522
-25.1,152.81,Birds,453
-33.56,142.07,Birds,371
-21.09,149.38,Birds,356
-37.04,145.89,Birds,349
-35.01,141.32,Birds,319
-19.6,147.36,Birds,309
-24.23,151.77,Birds,291
-32.44,116.4,Birds,290
-36.55,142.09,Birds,281
-37.85,143.25,Birds,263
-36.32,144.93,Birds,249
-33.91,137.94,Birds,230
-37.67,146.41,Mammals,220
-25.02,114.41,Birds,211
-34.14,147.3,Birds,194
-35.77,139.22,Birds,189
-22.67,150.55,Birds,170
-38.32,144.24,Birds,166
-22.41,114.42,Birds,161
-37.75,141.23,Mammals,156
-37.85,143.25,Amphibians,146
-37.35,140.03,Birds,140
-34.89,138.76,Plants,140
-36.2,149.08,Birds,134
-38.22,146.37,Birds,133
-35.93,137.24,Mammals,133
-35.64,144.89,Birds,133
-12.72,131.18,Birds,132
-29.25,153.26,Birds,130
-30.62,150.69,Birds,126
-37.67,146.41,Birds,124
-35.33,138.67,Plants,123
-34.76,139.93,Mammals,123
-34.89,138.76,Birds,119
-33.8,134.79,Birds,116
-32.76,134.49,Birds,116
-34.16,141.07,Birds,116
-35.62,141.18,Birds,111
-35.59,148.32,Amphibians,110
-32.38,150.23,Birds,110
-37.75,148.93,Birds,106
-32.52,151.19,Amphibians,106
-32.94,150.06,Birds,106
-33.13,151.44,Birds,104
-33.16,150.39,Birds,104
-28.76,151.41,Birds,102
-40.45,144.53,Birds,100
-27.21,153.34,Mammals,99
-33.89,122.6,Birds,98
-37.26,142.38,Birds,96
-35.19,142.33,Birds,96
-32.37,152.3,Birds,94
-34.14,148.38,Birds,92
-16.69,140.41,Birds,89
-33.6,138.73,Birds,89
-34.8,145.15,Birds,89
-35.15,138.81,Birds,87
-35.93,137.24,Birds,86
-33.65,146.39,Birds,82
-15.27,125.38,Mammals,82
-40.44,147.82,Birds,82
-37.35,148.37,Mammals,82
-37.75,148.93,Mammals,81
-32.52,151.19,Birds,81
-36.88,146.76,Mammals,79
-27.15,152.82,Mammals,77
-34.96,137.47,Birds,75
-34.15,116.65,Birds,74
-32.49,151.14,Birds,72
-38.35,143.97,Birds,70
-27.34,152.92,Birds,70
-31.49,149.19,Birds,69
-20.66,117.08,Birds,67
-31.21,152.65,Birds,66
-11.52,130.75,Mammals,64
-30.54,149.14,Mammals,63
-36.86,143.91,Mammals,63
-38.51,142.54,Birds,62
-34.56,142.61,Birds,62
-42.66,147.75,Mammals,61
-37.85,143.25,Reptiles,60
-34.66,150.88,Birds,60
-27.76,152.61,Mammals,60
-32.48,138.27,Birds,59
-18.76,146.45,Birds,57
-37.6,148.84,Birds,55
-42.66,147.75,Birds,55
-30.43,152.93,Mammals,55
-29.34,144.54,Birds,54
-31.9,115.64,Birds,53
-37.46,141.89,Birds,52
-35.61,141.57,Birds,52
-31.23,152.8,Mammals,50
-15.49,129.68,Birds,49
-33.69,151.32,Birds,49
-36.87,149.06,Birds,49
-34.76,139.93,Plants,49
-28.2,146.06,Birds,48
-31.08,146.42,Birds,48
-28.6,153.19,Birds,48
-33.89,150.81,Birds,48
-27.38,144.86,Birds,47
-31.08,119.91,Birds,47
-37.21,146.85,Amphibians,47
-34.7,116.16,Birds,47
-31.72,138.68,Birds,46
-37.26,142.38,Mammals,45
-34.58,150.46,Birds,45
-16.09,145.36,Mammals,44
-17.28,146.07,Birds,44
-37.33,148.9,Mammals,44
-38.32,144.24,Amphibians,43
-42.48,147.53,Birds,43
-33.69,151.32,Plants,42
-41.36,147.69,Mammals,42
-34.13,116.67,Birds,42
-25.15,144.16,Mammals,42
-35.59,148.34,Birds,41
-34.68,150.7,Birds,41
-12.72,131.18,Mammals,41
-34.15,116.65,Mammals,41
-33.59,140.42,Birds,39
-28.42,153.02,Birds,38
-36.32,144.93,Plants,38
-31.49,149.19,Mammals,38
-30.69,117.48,Birds,37
-35.27,150.66,Birds,37
-23.68,132.55,Birds,36
-37.21,146.85,Mammals,36
-33.16,150.39,Plants,36
-27.29,151.43,Birds,36
-13.42,132.02,Mammals,36
-36.53,149.74,Mammals,35
-12.96,133.07,Mammals,35
-28.36,114.44,Birds,34
-27.11,153.12,Birds,34
-32.41,117.18,Birds,34
-27.76,152.61,Birds,34
-31.23,152.8,Birds,34
-33.57,151.2,Birds,34
-13.42,132.02,Birds,33
-34.22,151.01,Birds,33
-34.58,116.22,Birds,32
-28.18,120.39,Birds,32
-34.24,150.84,Birds,32
-16.86,126.75,Birds,32
-28.67,152.62,Mammals,32
-32.44,146.63,Birds,32
-33.1,150.93,Birds,32
-36.26,148.38,Birds,31
-28.42,153.61,Birds,31
-35.96,150.25,Birds,31
-31.31,147.5,Birds,30
-28.68,151.89,Plants,30
-37.22,144.88,Mammals,30
-32.39,142.64,Birds,30
-29.3,142.81,Birds,29
-43.13,146.74,Mammals,29
-33.21,151.56,Birds,29
-17.28,146.07,Mammals,29
-33.46,149.13,Birds,28
-36.53,149.74,Amphibians,28
-37.71,141.12,Birds,28
-36.53,149.74,Birds,28
