name,taxa,status,period,pct_change,n_sites
Black-eared Miner,Birds,Endangered,1999–2021,-100.0,103
Black-footed Tree-rat (Kimberley and mainland Northern Territory),Mammals,Endangered,1995–2016,-100.0,20
Digul,Mammals,Endangered,1995–2021,-100.0,102
Kakadu Pebble-mound Mouse,Mammals,Vulnerable,1995–2016,-100.0,11
New Holland Mouse,Mammals,Vulnerable,1985–2015,-100.0,8
Orange-bellied Parrot,Birds,Critically Endangered,1987–2019,-100.0,7
Murray Mallee Striated Grasswren,Birds,Endangered,1999–2021,-100.0,39
Sunset Frog,Amphibians,Endangered,1997–2020,-99.9,29
Gouldian Finch,Birds,Endangered,1996–2021,-99.5,114
Yellow Gnat-orchid,Plants,Endangered,2009–2020,-99.3,5
Northern Corroboree Frog,Amphibians,Critically Endangered,1986–2021,-99.1,116
Granite Boronia,Plants,Endangered,2008–2021,-99.1,8
Long-nosed Potoroo (northern),Mammals,Vulnerable,1999–2020,-98.6,8
Striped Legless Lizard,Reptiles,Endangered,1996–2021,-98.0,94
Canberra Grassland Earless Dragon,Reptiles,Critically Endangered,2006–2021,-97.9,8
