CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID
"Eastern Quoll, Luaner",Mammals,Endangered,Tasmania,-41.42075532,145.788359,Actively managed,962_267_1864_354655_m_101
"Eastern Quoll, Luaner",Mammals,Endangered,Tasmania,-42.65599782,147.7519754,Actively managed,962_267_1864_354656_m_101
Dugong,Mammals,Vulnerable,Western Australia,-25.01534752,114.4114369,Unknown,947_2_10_251833_m_108
Dugong,Mammals,Vulnerable,Western Australia,-22.40506269,114.4195664,Unknown,947_2_10_251834_m_108
Dugong,Mammals,Vulnerable,Western Australia,-22.40506269,114.4195664,Unknown,947_2_10_251835_m_108
Southern Right Whale,Mammals,Endangered,Victoria,-38.51214642,142.5392623,Actively managed,1038_113_2004_269080_m_111
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,South Australia,-36.95318691,140.406113,Unknown,1372_406_2419_896923_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,South Australia,-37.60960905,140.826159,Unknown,1372_406_2419_896959_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,South Australia,-37.60960905,140.826159,Unknown,1372_406_2419_896971_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.74514328,141.2276395,Unknown,1372_406_2419_896983_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.74514328,141.2276395,Unknown,1372_406_2419_896995_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.74514328,141.2276395,Unknown,1372_406_2419_897031_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.46378375,141.8875845,Unknown,1372_406_2419_897043_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.74514328,141.2276395,Unknown,1372_406_2419_897055_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.46378375,141.8875845,Unknown,1372_406_2419_897067_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.46378375,141.8875845,Unknown,1372_406_2419_897079_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.74514328,141.2276395,Unknown,1372_406_2419_897115_m_113
"Eastern False Pipistrelle, Eastern Falsistrelle",Mammals,Vulnerable,Victoria,-37.74514328,141.2276395,Unknown,1372_406_2419_897127_m_113
